,0
0,0.64
1,0.8
2,0.88
3,0.72
4,0.84
5,0.88
6,0.8
7,0.84
8,1.0
9,0.84
10,0.92
11,0.96
12,0.96
13,0.88
14,0.92
15,0.88
16,0.88
17,0.84
18,0.76
19,1.0
20,0.96
21,0.92
22,0.92
23,0.88
24,0.92
25,0.92
26,0.96
27,0.84
28,0.84
29,0.96
30,0.96
31,0.88
32,0.92
33,0.92
34,0.84
35,0.96
36,0.92
37,0.96
38,1.0
39,0.96
40,1.0
41,0.96
42,0.96
43,0.96
44,0.92
45,1.0
46,0.92
47,0.88
48,0.92
49,0.88
50,0.96
51,0.92
52,0.96
53,0.88
54,0.92
55,0.84
56,1.0
57,0.88
58,0.96
59,0.96
60,0.92
61,0.96
62,0.96
63,0.96
64,0.92
65,0.88
66,0.92
67,0.84
68,0.96
69,0.88
70,0.92
71,1.0
72,0.96
73,0.88
74,1.0
75,0.8
76,0.92
77,0.96
78,0.88
79,0.88
80,0.96
81,0.96
82,1.0
83,1.0
84,0.92
85,1.0
86,1.0
87,0.88
88,0.92
89,0.92
90,0.96
91,0.96
92,0.96
93,0.84
94,0.96
95,1.0
96,0.92
97,1.0
98,1.0
99,0.92
100,0.88
