,0
0,0.68
1,0.88
2,0.8
3,0.88
4,1.0
5,0.92
6,0.92
7,0.96
8,0.92
9,0.96
10,1.0
11,0.96
12,1.0
13,1.0
14,0.96
15,0.96
16,0.88
17,0.88
18,1.0
19,0.88
20,0.92
21,0.96
22,0.96
23,0.88
24,0.92
25,0.92
26,0.96
27,0.96
28,0.92
29,0.96
30,0.92
31,0.96
32,0.88
33,0.96
34,0.96
35,0.96
36,1.0
37,0.96
38,0.96
39,0.92
40,0.96
41,0.8
42,0.96
43,0.92
44,1.0
45,0.96
46,0.92
47,1.0
48,1.0
49,0.92
50,0.88
51,1.0
52,0.88
53,1.0
54,1.0
55,1.0
56,0.96
57,0.88
58,0.84
59,0.92
60,1.0
61,1.0
62,0.92
63,1.0
64,0.96
65,1.0
66,0.96
67,0.92
68,0.84
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,0.96
75,0.92
76,1.0
77,1.0
78,0.96
79,0.92
80,1.0
81,1.0
82,0.84
83,0.96
84,0.96
85,1.0
86,1.0
87,0.92
88,0.8
89,0.96
90,0.96
91,0.84
92,0.92
93,1.0
94,0.92
95,1.0
96,0.92
97,1.0
98,1.0
99,0.92
100,0.96
