,0
0,0.68
1,0.72
2,0.64
3,0.68
4,0.76
5,0.8
6,0.84
7,0.88
8,0.96
9,0.84
10,0.8
11,0.84
12,0.96
13,0.92
14,0.92
15,0.88
16,0.96
17,0.84
18,0.88
19,0.84
20,0.92
21,0.88
22,1.0
23,0.96
24,1.0
25,1.0
26,0.8
27,0.92
28,0.92
29,0.8
30,0.92
31,0.92
32,0.88
33,1.0
34,0.92
35,0.88
36,0.84
37,0.92
38,0.96
39,0.96
40,0.88
41,0.84
42,0.84
43,0.88
44,0.92
45,0.88
46,0.96
47,0.84
48,0.92
49,0.96
50,0.88
51,0.88
52,0.92
53,0.8
54,0.8
55,0.96
56,0.84
57,0.96
58,0.8
59,0.84
60,0.96
61,0.96
62,0.92
63,0.92
64,0.92
65,0.96
66,0.92
67,0.88
68,0.96
69,0.92
70,0.96
71,0.8
72,0.92
73,0.92
74,0.8
75,1.0
76,0.96
77,0.8
78,0.92
79,0.96
80,1.0
81,1.0
82,0.92
83,0.96
84,0.84
85,0.88
86,0.96
87,1.0
88,0.92
89,0.84
90,0.96
91,0.84
92,0.92
93,1.0
94,0.84
95,0.92
96,0.8
97,1.0
98,0.88
99,0.92
100,1.0
