,0
0,0.72
1,0.84
2,1.0
3,0.88
4,0.92
5,0.88
6,1.0
7,0.96
8,0.92
9,0.84
10,0.96
11,0.92
12,0.96
13,0.92
14,0.96
15,0.96
16,0.96
17,0.92
18,0.92
19,0.84
20,0.96
21,0.92
22,0.92
23,1.0
24,0.88
25,0.88
26,1.0
27,0.96
28,0.88
29,0.88
30,1.0
31,1.0
32,0.96
33,0.88
34,0.88
35,0.96
36,0.92
37,0.96
38,0.88
39,1.0
40,1.0
41,0.92
42,0.96
43,0.84
44,1.0
45,0.96
46,1.0
47,0.88
48,0.96
49,0.92
50,1.0
51,1.0
52,0.96
53,0.96
54,0.88
55,1.0
56,1.0
57,0.96
58,0.88
59,0.96
60,1.0
61,0.96
62,0.92
63,0.92
64,0.96
65,0.96
66,0.96
67,0.96
68,0.96
69,0.92
70,1.0
71,0.96
72,0.88
73,0.84
74,0.96
75,0.96
76,0.96
77,0.96
78,0.92
79,0.88
80,0.96
81,1.0
82,0.96
83,0.92
84,0.92
85,0.96
86,0.88
87,0.92
88,0.92
89,0.92
90,1.0
91,1.0
92,0.96
93,1.0
94,0.96
95,0.92
96,0.88
97,1.0
98,0.96
99,1.0
100,1.0
