,0
0,0.48
1,0.68
2,0.88
3,0.8
4,0.88
5,0.84
6,0.92
7,0.84
8,0.92
9,0.88
10,0.8
11,0.8
12,0.96
13,0.8
14,0.76
15,0.84
16,0.88
17,0.76
18,0.8
19,0.84
20,0.88
21,0.84
22,0.92
23,0.84
24,0.92
25,1.0
26,0.96
27,0.96
28,0.72
29,0.84
30,0.96
31,0.8
32,0.76
33,0.92
34,1.0
35,0.84
36,0.92
37,0.84
38,0.92
39,0.76
40,0.92
41,0.96
42,0.92
43,0.88
44,0.8
45,0.92
46,0.88
47,0.96
48,0.88
49,0.76
50,0.96
51,0.92
52,1.0
53,0.92
54,0.96
55,0.88
56,0.96
57,0.84
58,0.88
59,0.92
60,0.88
61,1.0
62,0.96
63,0.96
64,0.96
65,0.96
66,0.88
67,0.96
68,0.88
69,0.92
70,0.96
71,0.84
72,0.92
73,0.96
74,0.96
75,1.0
76,0.96
77,0.96
78,0.84
79,0.96
80,0.84
81,0.96
82,0.96
83,1.0
84,0.92
85,0.88
86,0.96
87,1.0
88,0.96
89,0.92
90,0.92
91,0.92
92,1.0
93,0.96
94,0.96
95,0.96
96,0.92
97,1.0
98,1.0
99,0.92
100,0.96
