,0
0,0.48
1,0.8
2,0.88
3,0.8
4,0.8
5,0.96
6,0.92
7,0.88
8,0.92
9,0.8
10,0.92
11,0.8
12,0.8
13,0.8
14,0.84
15,0.92
16,0.88
17,0.88
18,0.88
19,0.8
20,0.96
21,0.96
22,0.76
23,0.8
24,0.88
25,0.88
26,0.8
27,0.88
28,0.92
29,0.92
30,0.88
31,0.84
32,0.96
33,0.88
34,0.88
35,0.96
36,0.76
37,0.88
38,0.96
39,0.76
40,0.96
41,0.84
42,0.88
43,0.84
44,0.88
45,0.92
46,0.96
47,0.96
48,0.96
49,0.88
50,0.84
51,0.92
52,0.8
53,0.96
54,0.92
55,0.8
56,0.76
57,0.8
58,0.84
59,0.8
60,0.92
61,0.92
62,1.0
63,0.8
64,0.84
65,0.8
66,0.84
67,0.92
68,0.96
69,0.84
70,0.96
71,0.72
72,0.92
73,0.96
74,0.84
75,0.92
76,0.96
77,0.88
78,0.92
79,0.84
80,1.0
81,0.88
82,0.92
83,0.88
84,0.92
85,0.84
86,0.72
87,0.88
88,0.84
89,0.88
90,0.88
91,0.92
92,0.96
93,0.84
94,0.72
95,0.88
96,0.88
97,0.92
98,0.88
99,0.88
100,0.88
