,0
0,0.64
1,0.76
2,0.84
3,0.68
4,0.8
5,0.96
6,0.88
7,0.84
8,0.88
9,0.8
10,0.84
11,0.76
12,0.88
13,0.8
14,0.88
15,0.92
16,0.92
17,0.88
18,0.84
19,0.92
20,0.8
21,0.96
22,0.88
23,0.84
24,0.8
25,0.64
26,0.84
27,0.8
28,0.84
29,0.84
30,0.92
31,0.96
32,1.0
33,0.88
34,1.0
35,0.84
36,0.92
37,0.88
38,0.8
39,0.84
40,0.8
41,0.8
42,0.88
43,0.92
44,0.8
45,0.84
46,0.72
47,0.92
48,0.88
49,0.88
50,0.72
51,0.4
52,0.48
53,0.64
54,0.52
55,0.52
56,0.52
57,0.44
58,0.36
59,0.64
60,0.24
61,0.56
62,0.32
63,0.48
64,0.52
65,0.56
66,0.48
67,0.48
68,0.4
69,0.56
70,0.48
71,0.6
72,0.56
73,0.68
74,0.8
75,0.6
76,0.72
77,0.64
78,0.4
79,0.44
80,0.6
81,0.64
82,0.64
83,0.44
84,0.56
85,0.68
86,0.68
87,0.56
88,0.6
89,0.48
90,0.52
91,0.64
92,0.6
93,0.76
94,0.56
95,0.68
96,0.44
97,0.72
98,0.64
99,0.64
100,0.6
