,0
0,0.6
1,0.92
2,0.64
3,0.72
4,0.6
5,0.48
6,0.56
7,0.64
8,0.72
9,0.68
10,0.68
11,0.6
12,0.6
13,0.52
14,0.68
15,0.76
16,0.56
17,0.64
18,0.8
19,0.76
20,0.72
21,0.52
22,0.84
23,0.64
24,0.76
25,0.8
26,0.76
27,0.52
28,0.72
29,0.68
30,0.68
31,0.72
32,0.68
33,0.64
34,0.68
35,0.68
36,0.84
37,0.72
38,0.84
39,0.8
40,0.6
41,0.64
42,0.6
43,0.48
44,0.68
45,0.68
46,0.6
47,0.76
48,0.76
49,0.8
50,0.72
51,0.6
52,0.72
53,0.6
54,0.8
55,0.56
56,0.48
57,0.64
58,0.6
59,0.52
60,0.72
61,0.6
62,0.68
63,0.72
64,0.6
65,0.76
66,0.6
67,0.64
68,0.64
69,0.52
70,0.52
71,0.6
72,0.64
73,0.6
74,0.64
75,0.52
76,0.76
77,0.64
78,0.76
79,0.64
80,0.52
81,0.68
82,0.76
83,0.56
84,0.56
85,0.8
86,0.56
87,0.52
88,0.68
89,0.72
90,0.72
91,0.64
92,0.6
93,0.6
94,0.64
95,0.72
96,0.68
97,0.48
98,0.64
99,0.6
100,0.76
