,0
0,0.64
1,0.84
2,0.68
3,0.68
4,0.6
5,0.52
6,0.52
7,0.64
8,0.68
9,0.64
10,0.6
11,0.6
12,0.64
13,0.56
14,0.72
15,0.76
16,0.6
17,0.72
18,0.8
19,0.72
20,0.6
21,0.52
22,0.8
23,0.76
24,0.6
25,0.8
26,0.64
27,0.56
28,0.64
29,0.68
30,0.72
31,0.68
32,0.8
33,0.56
34,0.6
35,0.72
36,0.84
37,0.72
38,0.72
39,0.72
40,0.64
41,0.72
42,0.6
43,0.48
44,0.72
45,0.68
46,0.72
47,0.64
48,0.8
49,0.84
50,0.68
51,0.64
52,0.8
53,0.64
54,0.64
55,0.64
56,0.84
57,0.68
58,0.68
59,0.76
60,0.6
61,0.76
62,0.68
63,0.64
64,0.56
65,0.56
66,0.72
67,0.8
68,0.52
69,0.52
70,0.72
71,0.6
72,0.64
73,0.68
74,0.68
75,0.92
76,0.72
77,0.8
78,0.76
79,0.68
80,0.8
81,0.72
82,0.68
83,0.64
84,0.64
85,0.6
86,0.64
87,0.68
88,0.76
89,0.64
90,0.8
91,0.72
92,0.56
93,0.6
94,0.76
95,0.64
96,0.72
97,0.76
98,0.84
99,0.72
100,0.76
