,0
0,0.44
1,0.68
2,0.64
3,0.6
4,0.8
5,0.68
6,0.6
7,0.6
8,0.64
9,0.6
10,0.48
11,0.64
12,0.68
13,0.72
14,0.64
15,0.6
16,0.48
17,0.72
18,0.68
19,0.52
20,0.68
21,0.6
22,0.56
23,0.56
24,0.6
25,0.76
26,0.56
27,0.8
28,0.72
29,0.52
30,0.72
31,0.68
32,0.52
33,0.84
34,0.72
35,0.48
36,0.68
37,0.56
38,0.72
39,0.72
40,0.6
41,0.76
42,0.72
43,0.76
44,0.64
45,0.76
46,0.72
47,0.64
48,0.72
49,0.56
50,0.72
51,0.68
52,0.84
53,0.88
54,0.64
55,0.84
56,0.8
57,0.72
58,0.76
59,0.72
60,0.88
61,0.6
62,0.84
63,0.68
64,0.76
65,0.72
66,0.56
67,0.72
68,0.8
69,0.76
70,0.84
71,0.72
72,0.6
73,0.76
74,0.64
75,0.8
76,0.68
77,0.64
78,0.76
79,0.8
80,0.64
81,0.76
82,0.6
83,0.8
84,0.8
85,0.48
86,0.64
87,0.68
88,0.72
89,0.72
90,0.76
91,0.68
92,0.76
93,0.8
94,0.72
95,0.64
96,0.76
97,0.72
98,0.8
99,0.76
100,0.84
