,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.96
8,1.0
9,0.96
10,0.96
11,0.96
12,0.96
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,0.96
22,1.0
23,1.0
24,0.96
25,1.0
26,0.96
27,0.96
28,1.0
29,1.0
30,1.0
31,1.0
32,0.92
33,1.0
34,0.96
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.56
51,0.28
52,0.36
53,0.16
54,0.2
55,0.16
56,0.24
57,0.2
58,0.2
59,0.32
60,0.32
61,0.2
62,0.2
63,0.12
64,0.2
65,0.2
66,0.08
67,0.08
68,0.08
69,0.28
70,0.16
71,0.24
72,0.2
73,0.04
74,0.2
75,0.24
76,0.16
77,0.2
78,0.2
79,0.16
80,0.08
81,0.2
82,0.28
83,0.28
84,0.2
85,0.24
86,0.32
87,0.28
88,0.16
89,0.04
90,0.36
91,0.2
92,0.32
93,0.16
94,0.28
95,0.16
96,0.16
97,0.28
98,0.28
99,0.32
100,0.2
