,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.96
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,0.96
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,0.96
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.72
51,0.48
52,0.44
53,0.36
54,0.32
55,0.44
56,0.32
57,0.4
58,0.36
59,0.44
60,0.44
61,0.4
62,0.52
63,0.24
64,0.36
65,0.44
66,0.44
67,0.48
68,0.36
69,0.24
70,0.48
71,0.44
72,0.32
73,0.36
74,0.6
75,0.32
76,0.24
77,0.24
78,0.28
79,0.4
80,0.36
81,0.56
82,0.32
83,0.44
84,0.4
85,0.32
86,0.36
87,0.24
88,0.48
89,0.64
90,0.48
91,0.32
92,0.32
93,0.56
94,0.28
95,0.32
96,0.28
97,0.4
98,0.64
99,0.52
100,0.44
