,0
0,0.6
1,0.56
2,0.68
3,0.72
4,0.68
5,0.64
6,0.8
7,0.76
8,0.44
9,0.68
10,0.76
11,0.72
12,0.68
13,0.56
14,0.76
15,0.76
16,0.8
17,0.68
18,0.64
19,0.64
20,0.68
21,0.72
22,0.64
23,0.6
24,0.76
25,0.84
26,0.64
27,0.6
28,0.8
29,0.72
30,0.8
31,0.72
32,0.76
33,0.76
34,0.88
35,0.76
36,0.68
37,0.6
38,0.64
39,0.6
40,0.44
41,0.56
42,0.48
43,0.8
44,0.64
45,0.72
46,0.68
47,0.76
48,0.68
49,0.72
50,0.44
51,0.48
52,0.68
53,0.56
54,0.56
55,0.64
56,0.72
57,0.68
58,0.52
59,0.8
60,0.88
61,0.64
62,0.6
63,0.8
64,0.76
65,0.68
66,0.72
67,0.72
68,0.48
69,0.84
70,0.76
71,0.64
72,0.64
73,0.64
74,0.84
75,0.84
76,0.52
77,0.6
78,0.6
79,0.6
80,0.52
81,0.64
82,0.72
83,0.76
84,0.6
85,0.68
86,0.76
87,0.72
88,0.64
89,0.72
90,0.6
91,0.76
92,0.68
93,0.76
94,0.72
95,0.76
96,0.52
97,0.52
98,0.64
99,0.6
100,0.72
