,0
0,0.52
1,0.72
2,0.68
3,0.72
4,0.88
5,0.72
6,0.8
7,0.6
8,0.72
9,0.6
10,0.64
11,0.76
12,0.76
13,0.6
14,0.72
15,0.68
16,0.76
17,0.72
18,0.68
19,0.68
20,0.76
21,0.8
22,0.8
23,0.88
24,0.76
25,0.84
26,0.72
27,0.92
28,0.8
29,0.8
30,0.72
31,0.8
32,0.76
33,0.72
34,0.76
35,0.72
36,0.64
37,0.92
38,0.56
39,0.84
40,0.72
41,0.72
42,0.76
43,0.8
44,0.8
45,0.76
46,0.76
47,0.56
48,0.8
49,0.64
50,0.56
51,0.64
52,0.72
53,0.72
54,0.56
55,0.56
56,0.6
57,0.6
58,0.76
59,0.44
60,0.68
61,0.56
62,0.76
63,0.52
64,0.52
65,0.68
66,0.72
67,0.72
68,0.68
69,0.84
70,0.68
71,0.52
72,0.56
73,0.6
74,0.56
75,0.68
76,0.52
77,0.64
78,0.48
79,0.52
80,0.6
81,0.72
82,0.6
83,0.6
84,0.64
85,0.48
86,0.48
87,0.72
88,0.72
89,0.68
90,0.6
91,0.4
92,0.68
93,0.72
94,0.72
95,0.56
96,0.6
97,0.72
98,0.8
99,0.64
100,0.72
