,0
0,0.52
1,0.64
2,0.8
3,0.92
4,0.88
5,0.96
6,0.88
7,0.84
8,0.88
9,0.92
10,0.88
11,0.88
12,0.84
13,0.8
14,0.84
15,0.8
16,0.96
17,0.84
18,0.88
19,0.8
20,1.0
21,0.92
22,1.0
23,1.0
24,0.88
25,1.0
26,0.76
27,0.88
28,0.92
29,0.84
30,0.88
31,0.96
32,0.96
33,0.8
34,0.8
35,0.88
36,0.96
37,0.8
38,0.96
39,0.88
40,0.92
41,0.96
42,0.88
43,0.96
44,0.84
45,0.88
46,0.88
47,0.72
48,0.84
49,0.96
50,0.68
51,0.56
52,0.64
53,0.48
54,0.52
55,0.72
56,0.56
57,0.4
58,0.4
59,0.52
60,0.52
61,0.6
62,0.52
63,0.56
64,0.52
65,0.6
66,0.36
67,0.44
68,0.64
69,0.6
70,0.48
71,0.64
72,0.68
73,0.6
74,0.52
75,0.56
76,0.56
77,0.56
78,0.64
79,0.68
80,0.48
81,0.56
82,0.28
83,0.4
84,0.64
85,0.36
86,0.52
87,0.52
88,0.52
89,0.68
90,0.4
91,0.36
92,0.52
93,0.36
94,0.48
95,0.56
96,0.4
97,0.56
98,0.52
99,0.44
100,0.56
