,0
0,0.68
1,0.44
2,0.52
3,0.68
4,0.68
5,0.72
6,0.72
7,0.8
8,0.64
9,0.72
10,0.8
11,0.8
12,0.6
13,0.56
14,0.64
15,0.6
16,0.64
17,0.56
18,0.88
19,0.92
20,0.68
21,0.6
22,0.72
23,0.6
24,0.64
25,0.72
26,0.76
27,0.6
28,0.56
29,0.64
30,0.68
31,0.76
32,0.76
33,0.6
34,0.68
35,0.64
36,0.68
37,0.52
38,0.52
39,0.64
40,0.64
41,0.52
42,0.72
43,0.64
44,0.68
45,0.56
46,0.6
47,0.72
48,0.6
49,0.8
50,0.48
51,0.6
52,0.64
53,0.48
54,0.52
55,0.56
56,0.68
57,0.64
58,0.76
59,0.6
60,0.72
61,0.84
62,0.56
63,0.52
64,0.48
65,0.6
66,0.36
67,0.6
68,0.6
69,0.64
70,0.56
71,0.6
72,0.68
73,0.52
74,0.64
75,0.64
76,0.76
77,0.72
78,0.6
79,0.68
80,0.52
81,0.6
82,0.44
83,0.56
84,0.64
85,0.6
86,0.68
87,0.64
88,0.56
89,0.64
90,0.68
91,0.6
92,0.76
93,0.6
94,0.6
95,0.48
96,0.8
97,0.52
98,0.68
99,0.84
100,0.68
