,0
0,0.64
1,0.6
2,0.64
3,0.76
4,0.84
5,0.8
6,0.72
7,0.76
8,0.68
9,0.72
10,0.76
11,0.8
12,0.68
13,0.52
14,0.84
15,0.68
16,0.76
17,0.72
18,0.84
19,0.96
20,0.72
21,0.52
22,0.8
23,0.72
24,0.72
25,0.8
26,0.8
27,0.76
28,0.76
29,0.84
30,0.8
31,0.8
32,0.76
33,0.72
34,0.8
35,0.72
36,0.84
37,0.6
38,0.72
39,0.68
40,0.64
41,0.84
42,0.64
43,0.68
44,0.84
45,0.68
46,0.76
47,0.72
48,0.52
49,0.72
50,0.52
51,0.44
52,0.4
53,0.64
54,0.56
55,0.52
56,0.48
57,0.48
58,0.56
59,0.56
60,0.44
61,0.44
62,0.52
63,0.6
64,0.56
65,0.6
66,0.4
67,0.52
68,0.48
69,0.6
70,0.52
71,0.4
72,0.52
73,0.52
74,0.32
75,0.4
76,0.52
77,0.6
78,0.24
79,0.44
80,0.36
81,0.64
82,0.52
83,0.4
84,0.48
85,0.68
86,0.48
87,0.52
88,0.52
89,0.52
90,0.28
91,0.36
92,0.6
93,0.56
94,0.56
95,0.68
96,0.6
97,0.52
98,0.48
99,0.64
100,0.56
