,0
0,0.56
1,0.52
2,0.64
3,0.68
4,0.6
5,0.64
6,0.76
7,0.68
8,0.72
9,0.92
10,0.8
11,0.72
12,0.8
13,0.8
14,0.8
15,0.72
16,0.68
17,0.8
18,0.68
19,0.84
20,0.68
21,0.64
22,0.76
23,0.68
24,0.8
25,0.88
26,0.84
27,0.64
28,0.76
29,0.8
30,0.84
31,0.84
32,0.96
33,0.88
34,0.84
35,0.8
36,0.68
37,0.8
38,0.6
39,0.8
40,0.84
41,0.84
42,0.68
43,0.56
44,0.44
45,0.68
46,0.6
47,0.6
48,0.64
49,0.6
50,0.64
51,0.32
52,0.56
53,0.56
54,0.76
55,0.52
56,0.72
57,0.68
58,0.52
59,0.64
60,0.6
61,0.64
62,0.6
63,0.6
64,0.56
65,0.52
66,0.48
67,0.68
68,0.76
69,0.48
70,0.56
71,0.52
72,0.68
73,0.68
74,0.28
75,0.6
76,0.44
77,0.6
78,0.6
79,0.48
80,0.68
81,0.6
82,0.36
83,0.36
84,0.4
85,0.64
86,0.52
87,0.56
88,0.68
89,0.68
90,0.6
91,0.72
92,0.68
93,0.64
94,0.68
95,0.52
96,0.48
97,0.48
98,0.4
99,0.48
100,0.64
