,0
0,0.52
1,0.84
2,0.72
3,0.72
4,0.48
5,0.68
6,0.88
7,0.64
8,0.64
9,0.84
10,0.84
11,0.88
12,0.84
13,0.68
14,0.76
15,0.76
16,0.8
17,0.68
18,0.56
19,0.64
20,0.8
21,0.68
22,0.72
23,0.68
24,0.8
25,0.76
26,0.56
27,0.52
28,0.76
29,0.64
30,0.8
31,0.56
32,0.76
33,0.8
34,0.68
35,0.8
36,0.6
37,0.64
38,0.72
39,0.72
40,0.68
41,0.84
42,0.64
43,0.52
44,0.84
45,0.48
46,0.72
47,0.68
48,0.6
49,0.68
50,0.64
51,0.68
52,0.76
53,0.68
54,0.72
55,0.72
56,0.8
57,0.72
58,0.6
59,0.68
60,0.72
61,0.72
62,0.72
63,0.64
64,0.72
65,0.56
66,0.84
67,0.68
68,0.6
69,0.76
70,0.56
71,0.48
72,0.68
73,0.56
74,0.56
75,0.6
76,0.68
77,0.76
78,0.56
79,0.64
80,0.68
81,0.68
82,0.8
83,0.76
84,0.8
85,0.92
86,0.68
87,0.68
88,0.8
89,0.76
90,0.64
91,0.76
92,0.72
93,0.72
94,0.84
95,0.68
96,0.76
97,0.72
98,0.84
99,0.88
100,0.68
