,0
0,0.64
1,0.52
2,0.72
3,0.8
4,0.64
5,0.8
6,0.92
7,0.76
8,0.64
9,0.68
10,0.8
11,0.8
12,0.68
13,0.8
14,0.48
15,0.8
16,0.72
17,0.92
18,0.68
19,0.6
20,0.8
21,0.72
22,0.64
23,0.72
24,0.8
25,0.84
26,0.68
27,0.88
28,0.64
29,0.64
30,0.68
31,0.72
32,0.64
33,0.8
34,0.68
35,0.76
36,0.68
37,0.8
38,0.84
39,0.64
40,0.84
41,0.84
42,0.8
43,0.6
44,0.68
45,0.72
46,0.88
47,0.72
48,0.68
49,0.8
50,0.8
51,0.6
52,0.52
53,0.76
54,0.72
55,0.64
56,0.64
57,0.72
58,0.72
59,0.6
60,0.8
61,0.68
62,0.84
63,0.68
64,0.6
65,0.96
66,0.6
67,0.6
68,0.68
69,0.6
70,0.64
71,0.64
72,0.44
73,0.64
74,0.72
75,0.56
76,0.48
77,0.48
78,0.64
79,0.6
80,0.6
81,0.6
82,0.56
83,0.72
84,0.52
85,0.72
86,0.6
87,0.56
88,0.68
89,0.44
90,0.72
91,0.64
92,0.4
93,0.52
94,0.52
95,0.6
96,0.64
97,0.68
98,0.48
99,0.6
100,0.52
