,0
0,0.48
1,0.76
2,0.76
3,0.84
4,0.72
5,0.76
6,0.72
7,0.6
8,0.72
9,0.64
10,0.76
11,0.6
12,0.6
13,0.64
14,0.72
15,0.76
16,0.64
17,0.84
18,0.52
19,0.68
20,0.76
21,0.72
22,0.72
23,0.68
24,0.68
25,0.64
26,0.8
27,0.72
28,0.68
29,0.64
30,0.72
31,0.68
32,0.68
33,0.72
34,0.64
35,0.6
36,0.56
37,0.44
38,0.56
39,0.6
40,0.56
41,0.68
42,0.56
43,0.4
44,0.6
45,0.72
46,0.48
47,0.44
48,0.52
49,0.68
50,0.4
51,0.84
52,0.4
53,0.56
54,0.44
55,0.64
56,0.64
57,0.56
58,0.64
59,0.36
60,0.48
61,0.56
62,0.68
63,0.52
64,0.48
65,0.6
66,0.6
67,0.48
68,0.64
69,0.64
70,0.32
71,0.52
72,0.84
73,0.68
74,0.56
75,0.72
76,0.56
77,0.84
78,0.76
79,0.72
80,0.64
81,0.68
82,0.72
83,0.6
84,0.72
85,0.76
86,0.68
87,0.72
88,0.84
89,0.76
90,0.72
91,0.76
92,0.56
93,0.64
94,0.76
95,0.68
96,0.64
97,0.56
98,0.64
99,0.56
100,0.56
