,0
0,0.68
1,0.68
2,0.76
3,0.84
4,0.92
5,0.88
6,0.92
7,0.84
8,0.68
9,0.92
10,0.76
11,0.92
12,0.88
13,0.68
14,0.76
15,0.68
16,0.6
17,0.6
18,0.72
19,0.8
20,0.84
21,0.76
22,0.52
23,0.76
24,0.72
25,0.68
26,0.76
27,0.64
28,0.72
29,0.68
30,0.68
31,0.64
32,0.44
33,0.76
34,0.72
35,0.56
36,0.76
37,0.72
38,0.48
39,0.68
40,0.72
41,0.68
42,0.68
43,0.52
44,0.6
45,0.56
46,0.56
47,0.68
48,0.48
49,0.48
50,0.48
51,0.4
52,0.52
53,0.52
54,0.6
55,0.52
56,0.4
57,0.52
58,0.52
59,0.6
60,0.48
61,0.52
62,0.48
63,0.52
64,0.52
65,0.52
66,0.44
67,0.36
68,0.48
69,0.6
70,0.48
71,0.56
72,0.52
73,0.4
74,0.56
75,0.64
76,0.48
77,0.44
78,0.6
79,0.72
80,0.32
81,0.52
82,0.64
83,0.64
84,0.4
85,0.64
86,0.68
87,0.56
88,0.64
89,0.68
90,0.68
91,0.88
92,0.72
93,0.88
94,0.76
95,0.8
96,0.72
97,0.76
98,0.88
99,0.88
100,0.8
