,0
0,0.6
1,0.92
2,0.6
3,0.64
4,0.76
5,0.44
6,0.6
7,0.72
8,0.72
9,0.44
10,0.72
11,0.52
12,0.68
13,0.52
14,0.64
15,0.72
16,0.68
17,0.6
18,0.76
19,0.76
20,0.68
21,0.52
22,0.6
23,0.8
24,0.64
25,0.76
26,0.84
27,0.56
28,0.56
29,0.56
30,0.76
31,0.6
32,0.68
33,0.72
34,0.76
35,0.68
36,0.6
37,0.6
38,0.64
39,0.92
40,0.72
41,0.68
42,0.6
43,0.76
44,0.68
45,0.72
46,0.76
47,0.76
48,0.56
49,0.64
50,0.68
51,0.68
52,0.64
53,0.64
54,0.84
55,0.72
56,0.64
57,0.52
58,0.76
59,0.56
60,0.64
61,0.6
62,0.72
63,0.56
64,0.76
65,0.6
66,0.72
67,0.72
68,0.68
69,0.68
70,0.68
71,0.52
72,0.64
73,0.68
74,0.76
75,0.68
76,0.64
77,0.68
78,0.72
79,0.68
80,0.76
81,0.76
82,0.8
83,0.8
84,0.92
85,0.76
86,0.52
87,0.52
88,0.6
89,0.44
90,0.64
91,0.52
92,0.68
93,0.68
94,0.76
95,0.64
96,0.8
97,0.68
98,0.8
99,0.64
100,0.88
