,0
0,0.56
1,0.56
2,0.6
3,0.84
4,0.72
5,0.76
6,0.72
7,0.68
8,0.68
9,0.56
10,0.56
11,0.76
12,0.68
13,0.72
14,0.76
15,0.64
16,0.64
17,0.76
18,0.84
19,0.68
20,0.6
21,0.68
22,0.6
23,0.88
24,0.68
25,0.8
26,0.68
27,0.8
28,0.68
29,0.72
30,0.8
31,0.72
32,0.72
33,0.64
34,0.56
35,0.8
36,0.68
37,0.64
38,0.8
39,0.72
40,0.76
41,0.68
42,0.72
43,0.68
44,0.72
45,0.64
46,0.56
47,0.6
48,0.72
49,0.6
50,0.64
51,0.72
52,0.8
53,0.68
54,0.44
55,0.72
56,0.76
57,0.76
58,0.6
59,0.72
60,0.8
61,0.72
62,0.72
63,0.76
64,0.64
65,0.56
66,0.76
67,0.6
68,0.6
69,0.72
70,0.84
71,0.64
72,0.76
73,0.48
74,0.68
75,0.76
76,0.8
77,0.84
78,0.76
79,0.68
80,0.6
81,0.6
82,0.6
83,0.68
84,0.8
85,0.84
86,0.84
87,0.6
88,0.84
89,0.68
90,0.64
91,0.72
92,0.6
93,0.72
94,0.68
95,0.76
96,0.76
97,0.56
98,0.68
99,0.56
100,0.72
