,0
0,0.52
1,0.72
2,0.56
3,0.76
4,0.6
5,0.68
6,0.76
7,0.84
8,0.64
9,0.84
10,0.72
11,0.64
12,0.92
13,0.8
14,0.72
15,0.76
16,0.84
17,0.64
18,0.72
19,0.72
20,0.76
21,0.76
22,0.68
23,0.48
24,0.68
25,0.72
26,0.76
27,0.76
28,0.76
29,0.72
30,0.6
31,0.76
32,0.76
33,0.72
34,0.64
35,0.72
36,0.72
37,0.84
38,0.56
39,0.72
40,0.72
41,0.68
42,0.68
43,0.76
44,0.68
45,0.64
46,0.8
47,0.6
48,0.48
49,0.76
50,0.84
51,0.76
52,0.8
53,0.72
54,0.56
55,0.72
56,0.68
57,0.52
58,0.48
59,0.8
60,0.6
61,0.6
62,0.64
63,0.68
64,0.6
65,0.8
66,0.72
67,0.72
68,0.68
69,0.64
70,0.56
71,0.64
72,0.48
73,0.76
74,0.68
75,0.8
76,0.44
77,0.64
78,0.72
79,0.84
80,0.72
81,0.8
82,0.84
83,0.72
84,0.84
85,0.76
86,0.84
87,0.44
88,0.6
89,0.72
90,0.52
91,0.52
92,0.48
93,0.64
94,0.76
95,0.64
96,0.64
97,0.68
98,0.72
99,0.6
100,0.8
