,0
0,0.6
1,0.72
2,0.68
3,0.64
4,0.56
5,0.44
6,0.56
7,0.76
8,0.56
9,0.72
10,0.76
11,0.6
12,0.64
13,0.6
14,0.76
15,0.72
16,0.76
17,0.68
18,0.76
19,0.8
20,0.48
21,0.56
22,0.64
23,0.76
24,0.8
25,0.72
26,0.6
27,0.64
28,0.68
29,0.64
30,0.72
31,0.64
32,0.6
33,0.72
34,0.8
35,0.72
36,0.6
37,0.6
38,0.64
39,0.92
40,0.6
41,0.8
42,0.84
43,0.76
44,0.68
45,0.76
46,0.72
47,0.6
48,0.72
49,0.64
50,0.6
51,0.6
52,0.56
53,0.68
54,0.76
55,0.6
56,0.72
57,0.92
58,0.64
59,0.72
60,0.64
61,0.64
62,0.68
63,0.6
64,0.68
65,0.76
66,0.72
67,0.8
68,0.68
69,0.72
70,0.72
71,0.68
72,0.64
73,0.68
74,0.64
75,0.8
76,0.8
77,0.64
78,0.72
79,0.76
80,0.8
81,0.64
82,0.76
83,0.72
84,0.68
85,0.68
86,0.72
87,0.72
88,0.72
89,0.64
90,0.8
91,0.76
92,0.64
93,0.68
94,0.52
95,0.68
96,0.76
97,0.68
98,0.64
99,0.6
100,0.76
