,0
0,0.32
1,0.68
2,0.72
3,0.68
4,0.72
5,0.68
6,0.72
7,0.68
8,0.64
9,0.72
10,0.64
11,0.68
12,0.68
13,0.56
14,0.68
15,0.76
16,0.8
17,0.8
18,0.72
19,0.64
20,0.68
21,0.72
22,0.6
23,0.68
24,0.6
25,0.76
26,0.72
27,0.6
28,0.64
29,0.72
30,0.64
31,0.8
32,0.84
33,0.84
34,0.72
35,0.84
36,0.84
37,0.76
38,0.72
39,0.56
40,0.56
41,0.56
42,0.56
43,0.68
44,0.44
45,0.6
46,0.56
47,0.52
48,0.76
49,0.92
50,0.6
51,0.72
52,0.68
53,0.64
54,0.72
55,0.64
56,0.64
57,0.72
58,0.68
59,0.6
60,0.6
61,0.72
62,0.48
63,0.52
64,0.6
65,0.64
66,0.68
67,0.72
68,0.6
69,0.6
70,0.64
71,0.72
72,0.6
73,0.76
74,0.76
75,0.72
76,0.64
77,0.76
78,0.6
79,0.68
80,0.76
81,0.52
82,0.84
83,0.52
84,0.76
85,0.6
86,0.68
87,0.68
88,0.72
89,0.68
90,0.84
91,0.76
92,0.52
93,0.48
94,0.72
95,0.64
96,0.64
97,0.72
98,0.76
99,0.64
100,0.72
