,0
0,0.44
1,0.84
2,0.68
3,0.72
4,0.6
5,0.64
6,0.8
7,0.84
8,0.72
9,0.68
10,0.44
11,0.76
12,0.6
13,0.8
14,0.6
15,0.72
16,0.72
17,0.64
18,0.72
19,0.72
20,0.6
21,0.76
22,0.84
23,0.6
24,0.72
25,0.6
26,0.52
27,0.88
28,0.64
29,0.6
30,0.64
31,0.8
32,0.72
33,0.6
34,0.76
35,0.64
36,0.56
37,0.84
38,0.6
39,0.6
40,0.76
41,0.72
42,0.72
43,0.64
44,0.68
45,0.84
46,0.68
47,0.8
48,0.8
49,0.68
50,0.72
51,0.6
52,0.6
53,0.76
54,0.64
55,0.76
56,0.6
57,0.56
58,0.68
59,0.84
60,0.6
61,0.64
62,0.68
63,0.72
64,0.68
65,0.56
66,0.64
67,0.64
68,0.76
69,0.68
70,0.64
71,0.68
72,0.68
73,0.64
74,0.68
75,0.8
76,0.8
77,0.72
78,0.76
79,0.76
80,0.68
81,0.48
82,0.56
83,0.6
84,0.64
85,0.72
86,0.68
87,0.64
88,0.76
89,0.76
90,0.64
91,0.64
92,0.68
93,0.64
94,0.6
95,0.76
96,0.64
97,0.72
98,0.76
99,0.52
100,0.72
