,0
0,0.28
1,0.68
2,0.72
3,0.72
4,0.72
5,0.56
6,0.68
7,0.84
8,0.6
9,0.64
10,0.84
11,0.68
12,0.64
13,0.8
14,0.6
15,0.76
16,0.6
17,0.8
18,0.68
19,0.6
20,0.72
21,0.56
22,0.72
23,0.84
24,0.76
25,0.68
26,0.68
27,0.72
28,0.8
29,0.76
30,0.72
31,0.64
32,0.72
33,0.8
34,0.64
35,0.72
36,0.68
37,0.76
38,0.64
39,0.72
40,0.76
41,0.52
42,0.72
43,0.68
44,0.72
45,0.68
46,0.8
47,0.68
48,0.76
49,0.64
50,0.64
51,0.64
52,0.84
53,0.56
54,0.72
55,0.76
56,0.56
57,0.64
58,0.76
59,0.64
60,0.72
61,0.68
62,0.72
63,0.68
64,0.68
65,0.64
66,0.76
67,0.76
68,0.64
69,0.64
70,0.76
71,0.6
72,0.68
73,0.64
74,0.64
75,0.72
76,0.76
77,0.56
78,0.8
79,0.68
80,0.76
81,0.6
82,0.76
83,0.64
84,0.68
85,0.72
86,0.72
87,0.72
88,0.64
89,0.64
90,0.8
91,0.6
92,0.76
93,0.56
94,0.6
95,0.72
96,0.76
97,0.64
98,0.6
99,0.64
100,0.64
