,0
0,0.52
1,0.76
2,0.64
3,0.76
4,0.48
5,0.8
6,0.8
7,0.76
8,0.72
9,0.6
10,0.68
11,0.68
12,0.72
13,0.72
14,0.56
15,0.8
16,0.68
17,0.76
18,0.76
19,0.64
20,0.76
21,0.72
22,0.8
23,0.64
24,0.68
25,0.68
26,0.68
27,0.8
28,0.6
29,0.76
30,0.72
31,0.76
32,0.64
33,0.6
34,0.72
35,0.84
36,0.48
37,0.8
38,0.64
39,0.64
40,0.76
41,0.8
42,0.72
43,0.64
44,0.64
45,0.6
46,0.68
47,0.6
48,0.68
49,0.72
50,0.56
51,0.68
52,0.56
53,0.56
54,0.8
55,0.4
56,0.56
57,0.64
58,0.72
59,0.8
60,0.56
61,0.72
62,0.68
63,0.6
64,0.76
65,0.72
66,0.52
67,0.64
68,0.64
69,0.6
70,0.72
71,0.6
72,0.6
73,0.64
74,0.8
75,0.88
76,0.56
77,0.8
78,0.68
79,0.76
80,0.72
81,0.48
82,0.6
83,0.72
84,0.64
85,0.56
86,0.56
87,0.84
88,0.84
89,0.8
90,0.68
91,0.68
92,0.68
93,0.64
94,0.76
95,0.52
96,0.64
97,0.72
98,0.84
99,0.64
100,0.6
