,0
0,0.56
1,0.56
2,0.56
3,0.8
4,0.76
5,0.72
6,0.64
7,0.8
8,0.64
9,0.6
10,0.64
11,0.76
12,0.52
13,0.68
14,0.84
15,0.8
16,0.68
17,0.72
18,0.6
19,0.72
20,0.6
21,0.52
22,0.8
23,0.68
24,0.68
25,0.52
26,0.76
27,0.76
28,0.84
29,0.72
30,0.72
31,0.6
32,0.68
33,0.76
34,0.72
35,0.76
36,0.64
37,0.36
38,0.64
39,0.72
40,0.84
41,0.64
42,0.56
43,0.72
44,0.64
45,0.64
46,0.56
47,0.72
48,0.56
49,0.72
50,0.8
51,0.52
52,0.72
53,0.64
54,0.68
55,0.72
56,0.84
57,0.64
58,0.64
59,0.6
60,0.48
61,0.56
62,0.84
63,0.6
64,0.8
65,0.68
66,0.76
67,0.72
68,0.68
69,0.64
70,0.56
71,0.64
72,0.72
73,0.64
74,0.72
75,0.68
76,0.64
77,0.64
78,0.68
79,0.72
80,0.72
81,0.68
82,0.72
83,0.64
84,0.68
85,0.56
86,0.76
87,0.76
88,0.68
89,0.72
90,0.68
91,0.8
92,0.52
93,0.56
94,0.6
95,0.8
96,0.76
97,0.56
98,0.84
99,0.88
100,0.8
