,0
0,0.48
1,0.72
2,0.64
3,0.76
4,0.64
5,0.64
6,0.8
7,0.6
8,0.68
9,0.64
10,0.56
11,0.68
12,0.64
13,0.68
14,0.64
15,0.6
16,0.76
17,0.72
18,0.52
19,0.64
20,0.8
21,0.68
22,0.68
23,0.84
24,0.84
25,0.72
26,0.88
27,0.68
28,0.88
29,0.72
30,0.72
31,0.8
32,0.84
33,0.56
34,0.8
35,0.64
36,0.56
37,0.68
38,0.6
39,0.8
40,0.72
41,0.64
42,0.52
43,0.72
44,0.76
45,0.68
46,0.6
47,0.56
48,0.72
49,0.68
50,0.64
51,0.68
52,0.68
53,0.6
54,0.76
55,0.64
56,0.84
57,0.64
58,0.6
59,0.6
60,0.6
61,0.6
62,0.88
63,0.72
64,0.64
65,0.56
66,0.84
67,0.84
68,0.68
69,0.68
70,0.56
71,0.72
72,0.72
73,0.76
74,0.6
75,0.72
76,0.68
77,0.6
78,0.48
79,0.64
80,0.68
81,0.76
82,0.76
83,0.64
84,0.56
85,0.64
86,0.84
87,0.8
88,0.72
89,0.88
90,0.64
91,0.64
92,0.64
93,0.6
94,0.64
95,0.68
96,0.68
97,0.72
98,0.72
99,0.76
100,0.8
