,0
0,0.52
1,0.72
2,0.68
3,0.8
4,0.6
5,0.68
6,0.76
7,0.8
8,0.72
9,0.76
10,0.48
11,0.68
12,0.56
13,0.76
14,0.52
15,0.76
16,0.68
17,0.68
18,0.68
19,0.72
20,0.6
21,0.8
22,0.8
23,0.64
24,0.72
25,0.52
26,0.56
27,0.92
28,0.52
29,0.6
30,0.84
31,0.64
32,0.64
33,0.72
34,0.76
35,0.76
36,0.6
37,0.72
38,0.64
39,0.6
40,0.72
41,0.68
42,0.6
43,0.56
44,0.84
45,0.84
46,0.6
47,0.72
48,0.64
49,0.68
50,0.56
51,0.68
52,0.6
53,0.8
54,0.76
55,0.6
56,0.6
57,0.76
58,0.68
59,0.56
60,0.72
61,0.72
62,0.6
63,0.76
64,0.72
65,0.6
66,0.6
67,0.72
68,0.6
69,0.64
70,0.76
71,0.56
72,0.68
73,0.76
74,0.6
75,0.6
76,0.8
77,0.64
78,0.72
79,0.52
80,0.68
81,0.76
82,0.72
83,0.64
84,0.72
85,0.68
86,0.64
87,0.64
88,0.6
89,0.6
90,0.8
91,0.64
92,0.64
93,0.68
94,0.48
95,0.64
96,0.84
97,0.52
98,0.72
99,0.56
100,0.6
