,0
0,0.32
1,0.72
2,0.76
3,0.72
4,0.68
5,0.6
6,0.8
7,0.72
8,0.52
9,0.72
10,0.68
11,0.68
12,0.68
13,0.52
14,0.68
15,0.76
16,0.76
17,0.92
18,0.68
19,0.6
20,0.76
21,0.6
22,0.72
23,0.76
24,0.48
25,0.8
26,0.76
27,0.56
28,0.72
29,0.76
30,0.64
31,0.8
32,0.84
33,0.76
34,0.88
35,0.68
36,0.8
37,0.76
38,0.72
39,0.8
40,0.56
41,0.6
42,0.6
43,0.68
44,0.48
45,0.64
46,0.4
47,0.76
48,0.6
49,0.92
50,0.64
51,0.76
52,0.72
53,0.6
54,0.68
55,0.56
56,0.72
57,0.64
58,0.68
59,0.72
60,0.68
61,0.64
62,0.56
63,0.56
64,0.68
65,0.68
66,0.64
67,0.52
68,0.88
69,0.64
70,0.76
71,0.68
72,0.68
73,0.76
74,0.76
75,0.64
76,0.72
77,0.84
78,0.56
79,0.8
80,0.8
81,0.68
82,0.72
83,0.6
84,0.76
85,0.6
86,0.68
87,0.64
88,0.6
89,0.76
90,0.8
91,0.6
92,0.6
93,0.68
94,0.68
95,0.72
96,0.76
97,0.64
98,0.64
99,0.76
100,0.76
