,0
0,0.6
1,0.84
2,0.68
3,0.68
4,0.72
5,0.52
6,0.56
7,0.72
8,0.76
9,0.6
10,0.8
11,0.64
12,0.72
13,0.8
14,0.68
15,0.72
16,0.56
17,0.76
18,0.64
19,0.64
20,0.72
21,0.8
22,0.72
23,0.8
24,0.56
25,0.88
26,0.8
27,0.84
28,0.88
29,0.76
30,0.72
31,0.64
32,0.56
33,0.56
34,0.76
35,0.84
36,1.0
37,0.68
38,0.72
39,0.64
40,0.76
41,0.88
42,0.6
43,0.72
44,0.6
45,0.76
46,0.6
47,0.6
48,0.64
49,0.72
50,0.6
51,0.64
52,0.68
53,0.72
54,0.76
55,0.76
56,0.64
57,0.64
58,0.76
59,0.4
60,0.52
61,0.64
62,0.92
63,0.68
64,0.68
65,0.64
66,0.84
67,0.72
68,0.6
69,0.6
70,0.68
71,0.56
72,0.72
73,0.68
74,0.68
75,0.64
76,0.68
77,0.52
78,0.64
79,0.8
80,0.64
81,0.68
82,0.68
83,0.6
84,0.64
85,0.68
86,0.84
87,0.68
88,0.68
89,0.8
90,0.6
91,0.72
92,0.6
93,0.52
94,0.72
95,0.76
96,0.68
97,0.64
98,0.92
99,0.84
100,0.68
