,0
0,0.28
1,0.68
2,0.72
3,0.72
4,0.72
5,0.56
6,0.72
7,0.8
8,0.6
9,0.72
10,0.76
11,0.64
12,0.72
13,0.68
14,0.72
15,0.68
16,0.6
17,0.72
18,0.72
19,0.68
20,0.76
21,0.52
22,0.68
23,0.84
24,0.76
25,0.56
26,0.6
27,0.72
28,0.8
29,0.68
30,0.68
31,0.76
32,0.72
33,0.72
34,0.68
35,0.76
36,0.6
37,0.64
38,0.8
39,0.72
40,0.68
41,0.6
42,0.56
43,0.84
44,0.64
45,0.68
46,0.76
47,0.76
48,0.64
49,0.64
50,0.68
51,0.8
52,0.68
53,0.68
54,0.68
55,0.68
56,0.56
57,0.72
58,0.6
59,0.6
60,0.6
61,0.6
62,0.72
63,0.68
64,0.64
65,0.64
66,0.76
67,0.68
68,0.68
69,0.84
70,0.56
71,0.68
72,0.6
73,0.64
74,0.68
75,0.64
76,0.72
77,0.56
78,0.68
79,0.72
80,0.8
81,0.68
82,0.76
83,0.84
84,0.8
85,0.88
86,0.68
87,0.68
88,0.56
89,0.64
90,0.56
91,0.56
92,0.6
93,0.4
94,0.8
95,0.56
96,0.76
97,0.56
98,0.68
99,0.76
100,0.68
